x,y,k
-0.36273476,-0.02276987,1
-0.19788622,-0.09896813,1
-0.06533481,-0.0960464,2
0.1159273,-0.07565323,2
0.1139199,-0.08003696,2
0.50858274,0.10718895,3
0.14191212,-0.03211417,2
0.08757014,0.00646145,2
-0.0284531,-0.11896566,2
-0.25294777,0.00911394,1
-0.41438994,-0.00841208,1
-0.19405114,-0.03079729,1
0.03169398,-0.07955915,2
0.22841291,-0.08394128,2
0.36053013,0.0580168,3
0.48534316,0.11121651,3
-0.22018978,0.06818703,1
0.08622223,-0.02146058,2
-0.13156124,0.02648462,2
-0.15094812,0.08195327,1
-0.44661432,0.17500009,1
-0.13404586,0.06743795,2
0.0093915,-0.01835535,2
0.21762946,0.0160685,2
0.32761063,0.04928206,3
0.43579748,0.07821508,3
0.030914,-0.07386455,2
-0.16303073,0.08205554,1
-0.15591603,-0.29621447,1
-0.05198702,0.02835158,2
-0.48998377,0.06381781,1
-0.30749286,0.05470355,1
-0.00163602,-0.08868981,2
0.25334376,-0.13425932,2
0.45024078,-0.07471692,3
0.62252026,0.01124857,3
-0.04554008,0.28570062,2
0.12019546,0.08971908,2
-0.391543,0.09091412,1
-0.42147136,-0.1263119,1
